city,target,ticker,snapshot_hour_utc,candle_count,last_ts,last_close,last_yes_bid,last_yes_ask,last_mid,last_volume
chicago,2026-05-03,KXHIGHCHI-26MAY03-T66,12,55,1777809600,0.15,0.15,0.18,0.16499999999999998,1.0
chicago,2026-05-03,KXHIGHCHI-26MAY03-T66,20,56,1777838400,0.02,0.02,0.04,0.03,97.42
miami,2026-05-03,KXHIGHMIA-26MAY03-B85.5,4,29,1777780800,0.23,0.23,0.32,0.275,23.09
miami,2026-05-03,KXHIGHMIA-26MAY03-B85.5,12,36,1777809600,,0.24,0.25,0.245,0
miami,2026-05-03,KXHIGHMIA-26MAY03-B85.5,20,44,1777838280,,0.0,0.01,0.005,0
miami,2026-05-03,KXHIGHMIA-26MAY03-B79.5,4,26,1777780800,,0.04,0.07,0.05500000000000001,0
miami,2026-05-03,KXHIGHMIA-26MAY03-B79.5,12,53,1777809600,,0.06,0.08,0.07,0
miami,2026-05-03,KXHIGHMIA-26MAY03-B79.5,20,27,1777838340,0.01,0.0,0.01,0.005,666.0
miami,2026-05-03,KXHIGHMIA-26MAY03-B83.5,4,38,1777780800,,0.4,0.45,0.42500000000000004,0
miami,2026-05-03,KXHIGHMIA-26MAY03-B83.5,12,59,1777809600,,0.43,0.47,0.44999999999999996,0
miami,2026-05-03,KXHIGHMIA-26MAY03-B83.5,20,59,1777838400,0.16,0.16,0.19,0.175,405.0
miami,2026-05-03,KXHIGHMIA-26MAY03-T86,4,26,1777780800,,0.06,0.08,0.07,0
miami,2026-05-03,KXHIGHMIA-26MAY03-T86,12,29,1777809480,,0.07,0.08,0.07500000000000001,0
miami,2026-05-03,KXHIGHMIA-26MAY03-T86,20,22,1777838280,,0.0,0.01,0.005,0
miami,2026-05-03,KXHIGHMIA-26MAY03-T79,4,38,1777780800,0.01,0.01,0.05,0.030000000000000002,91.0
miami,2026-05-03,KXHIGHMIA-26MAY03-T79,12,10,1777808160,0.01,0.0,0.01,0.005,10.0
miami,2026-05-03,KXHIGHMIA-26MAY03-T79,20,40,1777838340,0.01,0.0,0.01,0.005,93.51
miami,2026-05-03,KXHIGHMIA-26MAY03-B81.5,4,44,1777780800,,0.16,0.19,0.175,0
miami,2026-05-03,KXHIGHMIA-26MAY03-B81.5,12,58,1777809600,,0.21,0.22,0.215,0
miami,2026-05-03,KXHIGHMIA-26MAY03-B81.5,20,61,1777838400,0.84,0.82,0.84,0.83,283.3
austin,2026-05-03,KXHIGHAUS-26MAY03-B78.5,4,15,1777780500,,0.24,0.25,0.245,0
